fecha;deporte;equipo1;equipo2;total;porcentaje_under;porcentaje_over;total_expertos;resultado_equipo1;resultado_equipo2;resultado_real
2025-07-30;MLB;Lad;Cin;9.5;83;17;24;2;5;under
2025-07-30;WNBA;Ny;Min;167;18;82;34;;;
2025-07-30;MLB;Phi;Chw;9;78;22;23;3;9;over
2025-07-30;MLB;Col;Cle;8;24;76;17;0;5;under
2025-07-30;MLB;Mia;Stl;8.5;75;25;20;;;
2025-07-30;MLB;Tb;Nyy;9;73;27;22;4;5;under
2025-07-30;MLB;Sea;Ath;9.5;71;29;24;4;5;under
2025-07-30;MLB;Bos;Min;8;69;31;13;;;
2025-07-30;MLB;Tex;Laa;8;33;67;21;;;
2025-07-30;MLB;Pit;Sf;7.5;66;34;29;;;
2025-07-30;MLB;Was;Hou;8;62;38;13;1;9;over
2025-07-30;MLB;Chc;Mil;7;61;39;23;;;
2025-07-30;MLB;Nym;Sd;8.5;55;45;20;0;5;under
2025-07-30;WNBA;Pho;Ind;167.5;45;55;31;;;
2025-07-30;MLB;Tor;Bal;9.5;55;45;22;;;
2025-07-30;WNBA;Atl;Dal;165.5;46;54;24;;;
2025-07-30;MLB;Az;Det;9.5;48;52;21;2;7;under
